TwitchName,TrackerLink
tarik,https://tracker.gg/valorant/profile/riot/SEN%20tarik%231337/matches?playlist=competitive
DisguisedToast,https://tracker.gg/valorant/profile/riot/Toast%237792/matches?playlist=competitive
TenZ,https://tracker.gg/valorant/profile/riot/SEN%20TenZ%230505/matches?playlist=competitive
Kyedae,https://tracker.gg/valorant/profile/riot/Kyedae%23Tnz/matches?playlist=competitive
sinatraa,https://tracker.gg/valorant/profile/riot/SEN%20sinatraa%23idc/matches?playlist=competitive
Hiko,https://tracker.gg/valorant/profile/riot/100T%20Hiko%23000/matches?playlist=competitive
ShahZam,https://tracker.gg/valorant/profile/riot/SEN%20ShahZaM%23jam/matches?playlist=competitive
PROD,https://tracker.gg/valorant/profile/riot/PROD%234545/matches?playlist=competitive
s0mcs,https://tracker.gg/valorant/profile/riot/NRG%20s0m%23NRG/matches?playlist=competitive
Nadeshot,https://tracker.gg/valorant/profile/riot/100T%20Nadeshot%23100/matches?playlist=competitive
shanks_ttv,https://tracker.gg/valorant/profile/riot/Rise%20Shanks%23519/matches?playlist=competitive
Punz,https://tracker.gg/valorant/profile/riot/Punz%23NA1/matches?playlist=competitive
stableronaldo,https://tracker.gg/valorant/profile/riot/shenanigaNS%23KENT/matches?playlist=competitive
imaqtpie,https://tracker.gg/valorant/profile/riot/Imaqtpie%23NA1/matches?playlist=competitive
QuarterJade,https://tracker.gg/valorant/profile/riot/QuarterJade%230000/matches?playlist=competitive
Subroza,https://tracker.gg/valorant/profile/riot/TSM%20Subroza%234678/matches?playlist=competitive
Shiphtur,https://tracker.gg/valorant/profile/riot/Shiphtur%23CHAP/matches?playlist=competitive
WARDELL,https://tracker.gg/valorant/profile/riot/WARDELL%23OPAC/matches?playlist=competitive
Masayoshi,https://tracker.gg/valorant/profile/riot/Masayoshi%23OTV/matches?playlist=competitive
Cryocells,https://tracker.gg/valorant/profile/riot/XSET%20Cryo%23cells/matches?playlist=competitive
EmilShe1n,https://tracker.gg/valorant/profile/riot/TwitchEmilShe1n%23EUGUY/matches?playlist=competitive
ploo,https://tracker.gg/valorant/profile/riot/ploo%23ful/matches?playlist=competitive
nats,https://tracker.gg/valorant/profile/riot/Gambit%20nAts%23RUS/matches?playlist=competitive
ScreaM,https://tracker.gg/valorant/profile/riot/Liquid%20ScreaM%231TAP/matches?playlist=competitive
zombs,https://tracker.gg/valorant/profile/riot/SEN%20zombs%23naysh/matches?playlist=competitive
peterpark,https://tracker.gg/valorant/profile/riot/Parker%23Peter/matches?playlist=competitive
Keeoh,https://tracker.gg/valorant/profile/riot/C9%20Keeoh%23HONK/matches?playlist=competitive
xChocoBars,https://tracker.gg/valorant/profile/riot/xchocobars%23000/matches?playlist=competitive
Grimm,https://tracker.gg/valorant/profile/riot/Grim%23main/matches?playlist=competitive
PRXf0rsakeN,https://tracker.gg/valorant/profile/riot/PRX%20f0rsakeN%23Huh/matches?playlist=competitive
a2guapo,https://tracker.gg/valorant/profile/riot/a2guapo%23315x1/matches?playlist=competitive
derrekow,https://tracker.gg/valorant/profile/riot/100T%20Derrek%23100/matches?playlist=competitive
Tiffae,https://tracker.gg/valorant/profile/riot/Tiffae%23uwu/matches?playlist=competitive
jingggxd,https://tracker.gg/valorant/profile/riot/PRX%20Jinggg%23Jing/matches?playlist=competitive
Xeppaa,https://tracker.gg/valorant/profile/riot/C9%20Xeppaa%23XITER/matches?playlist=competitive
codey,https://tracker.gg/valorant/profile/riot/Codey%23NA1/matches?playlist=competitive
ONSCREEN,https://tracker.gg/valorant/profile/riot/onscreen%231337/matches?playlist=competitive
joshseki,https://tracker.gg/valorant/profile/riot/joshseki%234534/matches?playlist=competitive
vinnie,https://tracker.gg/valorant/profile/riot/vinnie%23777/matches?playlist=competitive
Flexinja,https://tracker.gg/valorant/profile/riot/FLEXINJA%23omen/matches?playlist=competitive
nosyy,https://tracker.gg/valorant/profile/riot/V1%20nosyy%23BLIND/matches?playlist=competitive
OfficialBoaster,https://tracker.gg/valorant/profile/riot/FNATIC%20Boaster%231010/matches?playlist=competitive
AsunaWEEB,https://tracker.gg/valorant/profile/riot/100T%20Asuna%231111/matches?playlist=competitive
