Map,WinGame,WinPistol,AgentsTeam1,AgentsTeam2
Icebox,TeamA,TeamB,"['Raze', 'Sova', 'Sage', 'Viper', 'Jett']","['Fade', 'Viper', 'Jett', 'Cypher', 'Kayo']"
Haven,TeamB,TeamB,"['Reyna', 'Sova', 'Jett', 'Killjoy', 'Omen']","['Sova', 'Omen', 'Raze', 'Kayo', 'Cypher']"
Ascent,TeamB,TeamA,"['Reyna', 'Sova', 'Killjoy', 'Omen', 'Jett']","['Astra', 'Kayo', 'Sova', 'Cypher', 'Raze']"
Breeze,TeamA,TeamA,"['Reyna', 'Sova', 'Jett', 'Cypher', 'Viper']","['Reyna', 'Cypher', 'Viper', 'Sova', 'Jett']"
Icebox,TeamA,TeamA,"['Viper', 'Reyna', 'Jett', 'Killjoy', 'Fade']","['Jett', 'Sova', 'Killjoy', 'Reyna', 'Viper']"
Haven,TeamA,TeamB,"['Raze', 'Omen', 'Sova', 'Cypher', 'Jett']","['Reyna', 'Omen', 'Jett', 'Sova', 'Cypher']"
Fracture,TeamA,TeamB,"['Brimstone', 'Cypher', 'Kayo', 'Fade', 'Raze']","['Astra', 'Reyna', 'Breach', 'Raze', 'Cypher']"
Pearl,TeamB,TeamB,"['Harbor', 'Raze', 'Jett', 'Reyna', 'Neon']","['Astra', 'Raze', 'Phoenix', 'Fade', 'Killjoy']"
Bind,TeamA,TeamB,"['Brimstone', 'Raze', 'Fade', 'Skye', 'Cypher']","['Raze', 'Reyna', 'Brimstone', 'Killjoy', 'Fade']"
Ascent,TeamA,TeamB,"['Raze', 'Reyna', 'Omen', 'Killjoy', 'Sova']","['Reyna', 'Sova', 'Kayo', 'Jett', 'Omen']"
Haven,TeamB,TeamB,"['Jett', 'Sova', 'Killjoy', 'Omen', 'Phoenix']","['Jett', 'Omen', 'Killjoy', 'Reyna', 'Fade']"
Bind,TeamB,TeamB,"['Cypher', 'Astra', 'Skye', 'Raze', 'Phoenix']","['Reyna', 'Brimstone', 'Fade', 'Jett', 'Killjoy']"
Fracture,TeamB,TeamB,"['Cypher', 'Breach', 'Brimstone', 'Kayo', 'Raze']","['Brimstone', 'Breach', 'Raze', 'Kayo', 'Cypher']"
Haven,TeamB,TeamB,"['Raze', 'Cypher', 'Omen', 'Jett', 'Sova']","['Omen', 'Jett', 'Raze', 'Killjoy', 'Sova']"
Breeze,TeamB,TeamB,"['Viper', 'Cypher', 'Sova', 'Jett', 'Kayo']","['Reyna', 'Viper', 'Sova', 'Jett', 'Cypher']"
Pearl,TeamA,TeamB,"['Raze', 'Fade', 'Killjoy', 'Astra', 'Sage']","['Reyna', 'Jett', 'Fade', 'Killjoy', 'Brimstone']"
Breeze,TeamB,TeamB,"['Kayo', 'Sova', 'Jett', 'Killjoy', 'Cypher']","['Reyna', 'Jett', 'Sova', 'Viper', 'Cypher']"
Haven,TeamB,TeamB,"['Reyna', 'Brimstone', 'Sova', 'Killjoy', 'Raze']","['Raze', 'Omen', 'Sova', 'Cypher', 'Fade']"
Icebox,TeamB,TeamB,"['Raze', 'Killjoy', 'Sova', 'Fade', 'Viper']","['Reyna', 'Fade', 'Viper', 'Jett', 'Killjoy']"
Fracture,TeamB,TeamB,"['Jett', 'Killjoy', 'Astra', 'Fade', 'Breach']","['Reyna', 'Fade', 'Raze', 'Brimstone', 'Breach']"
Ascent,TeamA,TeamB,"['Astra', 'Jett', 'Fade', 'Cypher', 'Sova']","['Killjoy', 'Omen', 'Yoru', 'Jett', 'Fade']"
Pearl,TeamA,TeamB,"['Reyna', 'Raze', 'Cypher', 'Sova', 'Astra']","['Raze', 'Sage', 'Fade', 'Killjoy', 'Astra']"
Bind,TeamA,TeamB,"['Fade', 'Brimstone', 'Skye', 'Raze', 'Cypher']","['Cypher', 'Jett', 'Sova', 'Raze', 'Brimstone']"
Fracture,TeamB,TeamB,"['Jett', 'Omen', 'Killjoy', 'Breach', 'Sage']","['Raze', 'Sage', 'Brimstone', 'Cypher', 'Breach']"
