,Username,Agent,Map,WinPct,Matches
57,Toast,Viper,Breeze,0.5777777777777777,45
100,Toast,Jett,Icebox,0.4411764705882353,34
120,Toast,Jett,Split,0.46153846153846156,26
30,Toast,Omen,Bind,0.4166666666666667,24
90,Toast,Omen,Haven,0.6086956521739131,23
0,Toast,Jett,Ascent,0.38095238095238093,21
29,Toast,Neon,Bind,0.7,20
132,Toast,Raze,Split,0.631578947368421,19
117,Toast,Viper,Icebox,0.5789473684210527,19
112,Toast,Raze,Icebox,0.3888888888888889,18
123,Toast,Astra,Split,0.17647058823529413,17
8,Toast,Killjoy,Ascent,0.5,16
83,Toast,Astra,Haven,0.5333333333333333,15
9,Toast,Neon,Ascent,0.6,15
32,Toast,Raze,Bind,0.4666666666666667,15
135,Toast,Skye,Split,0.6666666666666666,15
130,Toast,Omen,Split,0.3333333333333333,15
40,Toast,Jett,Breeze,0.7142857142857143,14
77,Toast,Viper,Fracture,0.7142857142857143,14
114,Toast,Sage,Icebox,0.5714285714285714,14
88,Toast,Killjoy,Haven,0.6428571428571429,14
129,Toast,Neon,Split,0.6428571428571429,14
138,Toast,Yoru,Split,0.6923076923076923,13
49,Toast,Neon,Breeze,0.6153846153846154,13
3,Toast,Astra,Ascent,0.8461538461538461,13
58,Toast,Yoru,Breeze,0.5833333333333334,12
134,Toast,Sage,Split,0.75,12
38,Toast,Yoru,Bind,0.5,12
34,Toast,Sage,Bind,0.5833333333333334,12
80,Toast,Jett,Haven,0.4166666666666667,12
17,Toast,Viper,Ascent,0.5833333333333334,12
128,Toast,Killjoy,Split,0.36363636363636365,11
94,Toast,Sage,Haven,0.18181818181818182,11
28,Toast,Killjoy,Bind,0.4,10
118,Toast,Yoru,Icebox,0.3,10
55,Toast,Skye,Breeze,0.5,10
98,Toast,Yoru,Haven,0.3,10
16,Toast,Sova,Ascent,0.6,10
69,Toast,Neon,Fracture,0.5,10
20,Toast,Jett,Bind,0.5,10
10,Toast,Omen,Ascent,0.6,10
121,Toast,Kayo,Split,0.3,10
37,Toast,Viper,Bind,0.2,10
109,Toast,Neon,Icebox,0.5555555555555556,9
93,Toast,Reyna,Haven,0.3333333333333333,9
19,Toast,Yoru,Ascent,0.4444444444444444,9
86,Toast,Cypher,Haven,0.2222222222222222,9
89,Toast,Neon,Haven,0.4444444444444444,9
33,Toast,Reyna,Bind,0.3333333333333333,9
12,Toast,Raze,Ascent,0.625,8
116,Toast,Sova,Icebox,0.5,8
126,Toast,Cypher,Split,0.625,8
113,Toast,Reyna,Icebox,0.625,8
35,Toast,Skye,Bind,0.375,8
101,Toast,Kayo,Icebox,0.5714285714285714,7
102,Toast,Chamber,Icebox,0.7142857142857143,7
15,Toast,Skye,Ascent,0.5714285714285714,7
78,Toast,Yoru,Fracture,0.5714285714285714,7
95,Toast,Skye,Haven,0.5714285714285714,7
