,Username,Agent,Map,WinPct,Matches
72,100T Hiko,Raze,Fracture,0.4489795918367347,49
96,100T Hiko,Sova,Haven,0.5476190476190477,42
116,100T Hiko,Sova,Icebox,0.5,38
41,100T Hiko,Kayo,Breeze,0.4166666666666667,36
93,100T Hiko,Reyna,Haven,0.5,36
30,100T Hiko,Omen,Bind,0.34375,32
132,100T Hiko,Raze,Split,0.4838709677419355,31
56,100T Hiko,Sova,Breeze,0.48148148148148145,27
32,100T Hiko,Raze,Bind,0.44,25
53,100T Hiko,Reyna,Breeze,0.5833333333333334,24
114,100T Hiko,Sage,Icebox,0.4583333333333333,24
113,100T Hiko,Reyna,Icebox,0.4583333333333333,24
1,100T Hiko,Kayo,Ascent,0.45454545454545453,22
16,100T Hiko,Sova,Ascent,0.38095238095238093,21
7,100T Hiko,Fade,Ascent,0.65,20
22,100T Hiko,Chamber,Bind,0.5263157894736842,19
62,100T Hiko,Chamber,Fracture,0.6842105263157895,19
100,100T Hiko,Jett,Icebox,0.5294117647058824,17
92,100T Hiko,Raze,Haven,0.5294117647058824,17
64,100T Hiko,Breach,Fracture,0.5882352941176471,17
12,100T Hiko,Raze,Ascent,0.4666666666666667,15
40,100T Hiko,Jett,Breeze,0.5714285714285714,14
80,100T Hiko,Jett,Haven,0.42857142857142855,14
67,100T Hiko,Fade,Fracture,0.5,14
102,100T Hiko,Chamber,Icebox,0.21428571428571427,14
90,100T Hiko,Omen,Haven,0.38461538461538464,13
147,100T Hiko,Fade,Pearl,0.5384615384615384,13
35,100T Hiko,Skye,Bind,0.5384615384615384,13
82,100T Hiko,Chamber,Haven,0.4166666666666667,12
153,100T Hiko,Reyna,Pearl,0.6666666666666666,12
2,100T Hiko,Chamber,Ascent,0.5833333333333334,12
42,100T Hiko,Chamber,Breeze,0.8,10
0,100T Hiko,Jett,Ascent,0.7,10
25,100T Hiko,Brimstone,Bind,0.5,10
27,100T Hiko,Fade,Bind,0.6,10
