,Username,Agent,Map,WinPct,Matches
112,Kyedae,Raze,Icebox,0.5974025974025974,77
92,Kyedae,Raze,Haven,0.48,75
12,Kyedae,Raze,Ascent,0.4925373134328358,67
32,Kyedae,Raze,Bind,0.5,52
26,Kyedae,Cypher,Bind,0.5454545454545454,44
132,Kyedae,Raze,Split,0.45714285714285713,35
72,Kyedae,Raze,Fracture,0.41935483870967744,31
46,Kyedae,Cypher,Breeze,0.5357142857142857,28
56,Kyedae,Sova,Breeze,0.375,24
152,Kyedae,Raze,Pearl,0.6190476190476191,21
25,Kyedae,Brimstone,Bind,0.7368421052631579,19
65,Kyedae,Brimstone,Fracture,0.5555555555555556,18
5,Kyedae,Brimstone,Ascent,0.47058823529411764,17
42,Kyedae,Chamber,Breeze,0.625,16
114,Kyedae,Sage,Icebox,0.5333333333333333,15
142,Kyedae,Chamber,Pearl,0.5333333333333333,15
96,Kyedae,Sova,Haven,0.7142857142857143,14
134,Kyedae,Sage,Split,0.6153846153846154,13
116,Kyedae,Sova,Icebox,0.46153846153846156,13
64,Kyedae,Breach,Fracture,0.38461538461538464,13
14,Kyedae,Sage,Ascent,0.3076923076923077,13
94,Kyedae,Sage,Haven,0.5454545454545454,11
52,Kyedae,Raze,Breeze,0.36363636363636365,11
20,Kyedae,Jett,Bind,0.5,10
85,Kyedae,Brimstone,Haven,0.3333333333333333,9
0,Kyedae,Jett,Ascent,0.375,8
120,Kyedae,Jett,Split,0.625,8
77,Kyedae,Viper,Fracture,0.7142857142857143,7
90,Kyedae,Omen,Haven,0.14285714285714285,7
117,Kyedae,Viper,Icebox,0.2857142857142857,7
125,Kyedae,Brimstone,Split,1.0,7
126,Kyedae,Cypher,Split,0.7142857142857143,7
110,Kyedae,Omen,Icebox,0.42857142857142855,7
80,Kyedae,Jett,Haven,0.5714285714285714,7
16,Kyedae,Sova,Ascent,0.5714285714285714,7
47,Kyedae,Fade,Breeze,0.5,6
10,Kyedae,Omen,Ascent,0.6666666666666666,6
8,Kyedae,Killjoy,Ascent,0.16666666666666666,6
100,Kyedae,Jett,Icebox,0.6666666666666666,6
28,Kyedae,Killjoy,Bind,0.4,5
57,Kyedae,Viper,Breeze,0.2,5
62,Kyedae,Chamber,Fracture,0.6,5
145,Kyedae,Brimstone,Pearl,0.8,5
88,Kyedae,Killjoy,Haven,0.4,5
82,Kyedae,Chamber,Haven,0.25,4
36,Kyedae,Sova,Bind,0.25,4
40,Kyedae,Jett,Breeze,0.25,4
69,Kyedae,Neon,Fracture,0.75,4
