,Username,Agent,Map,WinPct,Matches
100,PROD,Jett,Icebox,0.5446428571428571,112
20,PROD,Jett,Bind,0.4954954954954955,111
0,PROD,Jett,Ascent,0.44545454545454544,110
80,PROD,Jett,Haven,0.45714285714285713,105
40,PROD,Jett,Breeze,0.5769230769230769,104
60,PROD,Jett,Fracture,0.47674418604651164,86
120,PROD,Jett,Split,0.45652173913043476,46
140,PROD,Jett,Pearl,0.47619047619047616,42
91,PROD,Phoenix,Haven,0.391304347826087,23
13,PROD,Reyna,Ascent,0.42105263157894735,19
113,PROD,Reyna,Icebox,0.5625,16
132,PROD,Raze,Split,0.4375,16
64,PROD,Breach,Fracture,0.5714285714285714,14
53,PROD,Reyna,Breeze,0.7142857142857143,14
72,PROD,Raze,Fracture,0.5833333333333334,12
32,PROD,Raze,Bind,0.7,10
56,PROD,Sova,Breeze,0.5,8
78,PROD,Yoru,Fracture,0.2857142857142857,7
51,PROD,Phoenix,Breeze,0.8333333333333334,6
2,PROD,Chamber,Ascent,0.6666666666666666,6
153,PROD,Reyna,Pearl,0.6,5
36,PROD,Sova,Bind,0.6,5
117,PROD,Viper,Icebox,0.75,4
11,PROD,Phoenix,Ascent,1.0,4
6,PROD,Cypher,Ascent,0.75,4
31,PROD,Phoenix,Bind,0.6666666666666666,3
90,PROD,Omen,Haven,0.6666666666666666,3
127,PROD,Fade,Split,0.3333333333333333,3
35,PROD,Skye,Bind,0.3333333333333333,3
57,PROD,Viper,Breeze,0.6666666666666666,3
89,PROD,Neon,Haven,0.6666666666666666,3
109,PROD,Neon,Icebox,0.6666666666666666,3
116,PROD,Sova,Icebox,1.0,3
149,PROD,Neon,Pearl,0.3333333333333333,3
73,PROD,Reyna,Fracture,0.5,2
58,PROD,Yoru,Breeze,0.5,2
29,PROD,Neon,Bind,0.0,2
98,PROD,Yoru,Haven,0.0,2
62,PROD,Chamber,Fracture,0.5,2
67,PROD,Fade,Fracture,0.5,2
95,PROD,Skye,Haven,0.0,2
69,PROD,Neon,Fracture,0.0,2
111,PROD,Phoenix,Icebox,0.5,2
30,PROD,Omen,Bind,0.0,2
19,PROD,Yoru,Ascent,0.5,2
10,PROD,Omen,Ascent,0.0,2
9,PROD,Neon,Ascent,0.5,2
93,PROD,Reyna,Haven,0.5,2
1,PROD,Kayo,Ascent,0.0,2
5,PROD,Brimstone,Ascent,0.5,2
92,PROD,Raze,Haven,0.5,2
86,PROD,Cypher,Haven,0.5,2
133,PROD,Reyna,Split,0.0,2
47,PROD,Fade,Breeze,1.0,2
143,PROD,Astra,Pearl,1.0,2
41,PROD,Kayo,Breeze,0.5,2
102,PROD,Chamber,Icebox,1.0,2
50,PROD,Omen,Breeze,1.0,2
49,PROD,Neon,Breeze,0.5,2
107,PROD,Fade,Icebox,0.5,2
26,PROD,Cypher,Bind,0.0,2
81,PROD,Kayo,Haven,1.0,1
74,PROD,Sage,Fracture,0.0,1
42,PROD,Chamber,Breeze,0.0,1
54,PROD,Sage,Breeze,1.0,1
27,PROD,Fade,Bind,0.0,1
55,PROD,Skye,Breeze,0.0,1
7,PROD,Fade,Ascent,1.0,1
106,PROD,Cypher,Icebox,1.0,1
126,PROD,Cypher,Split,0.0,1
88,PROD,Killjoy,Haven,1.0,1
28,PROD,Killjoy,Bind,1.0,1
16,PROD,Sova,Ascent,0.0,1
71,PROD,Phoenix,Fracture,1.0,1
96,PROD,Sova,Haven,0.0,1
118,PROD,Yoru,Icebox,1.0,1
52,PROD,Raze,Breeze,1.0,1
3,PROD,Astra,Ascent,1.0,1
15,PROD,Skye,Ascent,0.0,1
134,PROD,Sage,Split,1.0,1
65,PROD,Brimstone,Fracture,0.0,1
151,PROD,Phoenix,Pearl,0.0,1
46,PROD,Cypher,Breeze,0.0,1
150,PROD,Omen,Pearl,0.0,1
121,PROD,Kayo,Split,0.0,0
124,PROD,Breach,Split,0.0,0
119,PROD,Harbor,Icebox,0.0,0
123,PROD,Astra,Split,0.0,0
125,PROD,Brimstone,Split,0.0,0
122,PROD,Chamber,Split,0.0,0
4,PROD,Breach,Ascent,0.0,0
128,PROD,Killjoy,Split,0.0,0
145,PROD,Brimstone,Pearl,0.0,0
158,PROD,Yoru,Pearl,0.0,0
157,PROD,Viper,Pearl,0.0,0
156,PROD,Sova,Pearl,0.0,0
155,PROD,Skye,Pearl,0.0,0
154,PROD,Sage,Pearl,0.0,0
152,PROD,Raze,Pearl,0.0,0
148,PROD,Killjoy,Pearl,0.0,0
147,PROD,Fade,Pearl,0.0,0
146,PROD,Cypher,Pearl,0.0,0
144,PROD,Breach,Pearl,0.0,0
129,PROD,Neon,Split,0.0,0
142,PROD,Chamber,Pearl,0.0,0
141,PROD,Kayo,Pearl,0.0,0
115,PROD,Skye,Icebox,0.0,0
138,PROD,Yoru,Split,0.0,0
137,PROD,Viper,Split,0.0,0
136,PROD,Sova,Split,0.0,0
135,PROD,Skye,Split,0.0,0
131,PROD,Phoenix,Split,0.0,0
130,PROD,Omen,Split,0.0,0
139,PROD,Harbor,Split,0.0,0
82,PROD,Chamber,Haven,0.0,0
114,PROD,Sage,Icebox,0.0,0
61,PROD,Kayo,Fracture,0.0,0
48,PROD,Killjoy,Breeze,0.0,0
45,PROD,Brimstone,Breeze,0.0,0
44,PROD,Breach,Breeze,0.0,0
43,PROD,Astra,Breeze,0.0,0
39,PROD,Harbor,Bind,0.0,0
38,PROD,Yoru,Bind,0.0,0
37,PROD,Viper,Bind,0.0,0
34,PROD,Sage,Bind,0.0,0
33,PROD,Reyna,Bind,0.0,0
25,PROD,Brimstone,Bind,0.0,0
24,PROD,Breach,Bind,0.0,0
23,PROD,Astra,Bind,0.0,0
22,PROD,Chamber,Bind,0.0,0
21,PROD,Kayo,Bind,0.0,0
18,PROD,Harbor,Ascent,0.0,0
17,PROD,Viper,Ascent,0.0,0
14,PROD,Sage,Ascent,0.0,0
12,PROD,Raze,Ascent,0.0,0
8,PROD,Killjoy,Ascent,0.0,0
59,PROD,Harbor,Breeze,0.0,0
63,PROD,Astra,Fracture,0.0,0
112,PROD,Raze,Icebox,0.0,0
66,PROD,Cypher,Fracture,0.0,0
110,PROD,Omen,Icebox,0.0,0
108,PROD,Killjoy,Icebox,0.0,0
105,PROD,Brimstone,Icebox,0.0,0
104,PROD,Breach,Icebox,0.0,0
