,Username,Agent,Map,WinPct,Matches
152,G2 ShahZaM,Raze,Pearl,0.5277777777777778,108
32,G2 ShahZaM,Raze,Bind,0.5544554455445545,101
40,G2 ShahZaM,Jett,Breeze,0.48,100
16,G2 ShahZaM,Sova,Ascent,0.4235294117647059,85
100,G2 ShahZaM,Jett,Icebox,0.5277777777777778,72
80,G2 ShahZaM,Jett,Haven,0.463768115942029,69
96,G2 ShahZaM,Sova,Haven,0.6101694915254238,59
72,G2 ShahZaM,Raze,Fracture,0.5555555555555556,54
62,G2 ShahZaM,Chamber,Fracture,0.5833333333333334,48
0,G2 ShahZaM,Jett,Ascent,0.3157894736842105,38
113,G2 ShahZaM,Reyna,Icebox,0.6333333333333333,30
116,G2 ShahZaM,Sova,Icebox,0.4444444444444444,27
64,G2 ShahZaM,Breach,Fracture,0.52,25
73,G2 ShahZaM,Reyna,Fracture,0.4782608695652174,23
56,G2 ShahZaM,Sova,Breeze,0.7619047619047619,21
22,G2 ShahZaM,Chamber,Bind,0.47619047619047616,21
27,G2 ShahZaM,Fade,Bind,0.4444444444444444,18
147,G2 ShahZaM,Fade,Pearl,0.7222222222222222,18
2,G2 ShahZaM,Chamber,Ascent,0.5714285714285714,14
102,G2 ShahZaM,Chamber,Icebox,0.5555555555555556,9
92,G2 ShahZaM,Raze,Haven,0.42857142857142855,7
35,G2 ShahZaM,Skye,Bind,0.5714285714285714,7
112,G2 ShahZaM,Raze,Icebox,0.2,5
140,G2 ShahZaM,Jett,Pearl,0.6,5
49,G2 ShahZaM,Neon,Breeze,0.6,5
93,G2 ShahZaM,Reyna,Haven,0.3333333333333333,3
91,G2 ShahZaM,Phoenix,Haven,0.6666666666666666,3
87,G2 ShahZaM,Fade,Haven,0.6666666666666666,3
46,G2 ShahZaM,Cypher,Breeze,0.0,2
42,G2 ShahZaM,Chamber,Breeze,0.0,2
41,G2 ShahZaM,Kayo,Breeze,0.5,2
153,G2 ShahZaM,Reyna,Pearl,0.5,2
57,G2 ShahZaM,Viper,Breeze,0.0,2
142,G2 ShahZaM,Chamber,Pearl,0.5,2
82,G2 ShahZaM,Chamber,Haven,0.5,2
110,G2 ShahZaM,Omen,Icebox,1.0,1
65,G2 ShahZaM,Brimstone,Fracture,1.0,1
