,Username,Agent,Map,WinPct,Matches
80,SEN TenZ,Jett,Haven,0.5533980582524272,103
0,SEN TenZ,Jett,Ascent,0.5853658536585366,82
40,SEN TenZ,Jett,Breeze,0.6515151515151515,66
20,SEN TenZ,Jett,Bind,0.5833333333333334,60
100,SEN TenZ,Jett,Icebox,0.58,50
72,SEN TenZ,Raze,Fracture,0.696969696969697,33
132,SEN TenZ,Raze,Split,0.4838709677419355,31
62,SEN TenZ,Chamber,Fracture,0.6,30
22,SEN TenZ,Chamber,Bind,0.41379310344827586,29
60,SEN TenZ,Jett,Fracture,0.6666666666666666,27
38,SEN TenZ,Yoru,Bind,0.6153846153846154,26
102,SEN TenZ,Chamber,Icebox,0.7692307692307693,26
113,SEN TenZ,Reyna,Icebox,0.6086956521739131,23
42,SEN TenZ,Chamber,Breeze,0.5909090909090909,22
120,SEN TenZ,Jett,Split,0.5789473684210527,19
53,SEN TenZ,Reyna,Breeze,0.5,18
1,SEN TenZ,Kayo,Ascent,0.6666666666666666,18
13,SEN TenZ,Reyna,Ascent,0.7647058823529411,17
112,SEN TenZ,Raze,Icebox,0.5294117647058824,17
122,SEN TenZ,Chamber,Split,0.6470588235294118,17
69,SEN TenZ,Neon,Fracture,0.6666666666666666,15
32,SEN TenZ,Raze,Bind,0.5714285714285714,14
2,SEN TenZ,Chamber,Ascent,0.6428571428571429,14
93,SEN TenZ,Reyna,Haven,0.7692307692307693,13
49,SEN TenZ,Neon,Breeze,0.3333333333333333,12
129,SEN TenZ,Neon,Split,0.6666666666666666,12
61,SEN TenZ,Kayo,Fracture,0.5454545454545454,11
41,SEN TenZ,Kayo,Breeze,0.7777777777777778,9
142,SEN TenZ,Chamber,Pearl,0.5555555555555556,9
9,SEN TenZ,Neon,Ascent,0.5555555555555556,9
73,SEN TenZ,Reyna,Fracture,0.625,8
98,SEN TenZ,Yoru,Haven,0.75,8
58,SEN TenZ,Yoru,Breeze,0.42857142857142855,7
140,SEN TenZ,Jett,Pearl,0.42857142857142855,7
33,SEN TenZ,Reyna,Bind,0.5714285714285714,7
109,SEN TenZ,Neon,Icebox,0.5714285714285714,7
121,SEN TenZ,Kayo,Split,0.42857142857142855,7
89,SEN TenZ,Neon,Haven,0.8333333333333334,6
81,SEN TenZ,Kayo,Haven,0.5,6
19,SEN TenZ,Yoru,Ascent,0.6666666666666666,6
153,SEN TenZ,Reyna,Pearl,0.8,5
31,SEN TenZ,Phoenix,Bind,0.8,5
78,SEN TenZ,Yoru,Fracture,0.6,5
138,SEN TenZ,Yoru,Split,0.6,5
21,SEN TenZ,Kayo,Bind,0.4,5
82,SEN TenZ,Chamber,Haven,0.8,5
101,SEN TenZ,Kayo,Icebox,0.75,4
57,SEN TenZ,Viper,Breeze,0.75,4
133,SEN TenZ,Reyna,Split,0.75,4
91,SEN TenZ,Phoenix,Haven,0.5,4
158,SEN TenZ,Yoru,Pearl,0.0,4
118,SEN TenZ,Yoru,Icebox,1.0,3
65,SEN TenZ,Brimstone,Fracture,1.0,3
55,SEN TenZ,Skye,Breeze,1.0,3
149,SEN TenZ,Neon,Pearl,0.3333333333333333,3
5,SEN TenZ,Brimstone,Ascent,0.3333333333333333,3
29,SEN TenZ,Neon,Bind,0.5,2
115,SEN TenZ,Skye,Icebox,0.5,2
15,SEN TenZ,Skye,Ascent,0.5,2
56,SEN TenZ,Sova,Breeze,0.5,2
110,SEN TenZ,Omen,Icebox,1.0,2
75,SEN TenZ,Skye,Fracture,0.5,2
87,SEN TenZ,Fade,Haven,0.5,2
152,SEN TenZ,Raze,Pearl,1.0,2
125,SEN TenZ,Brimstone,Split,0.5,2
14,SEN TenZ,Sage,Ascent,1.0,2
45,SEN TenZ,Brimstone,Breeze,0.5,2
35,SEN TenZ,Skye,Bind,0.5,2
84,SEN TenZ,Breach,Haven,0.0,1
135,SEN TenZ,Skye,Split,1.0,1
6,SEN TenZ,Cypher,Ascent,1.0,1
137,SEN TenZ,Viper,Split,0.0,1
130,SEN TenZ,Omen,Split,1.0,1
116,SEN TenZ,Sova,Icebox,0.0,1
67,SEN TenZ,Fade,Fracture,1.0,1
95,SEN TenZ,Skye,Haven,0.0,1
51,SEN TenZ,Phoenix,Breeze,0.0,1
25,SEN TenZ,Brimstone,Bind,1.0,1
12,SEN TenZ,Raze,Ascent,1.0,1
156,SEN TenZ,Sova,Pearl,1.0,1
47,SEN TenZ,Fade,Breeze,1.0,1
66,SEN TenZ,Cypher,Fracture,0.0,1
117,SEN TenZ,Viper,Icebox,0.0,1
27,SEN TenZ,Fade,Bind,0.0,1
154,SEN TenZ,Sage,Pearl,0.0,1
30,SEN TenZ,Omen,Bind,1.0,1
111,SEN TenZ,Phoenix,Icebox,0.0,1
52,SEN TenZ,Raze,Breeze,1.0,1
126,SEN TenZ,Cypher,Split,0.0,0
123,SEN TenZ,Astra,Split,0.0,0
8,SEN TenZ,Killjoy,Ascent,0.0,0
127,SEN TenZ,Fade,Split,0.0,0
119,SEN TenZ,Harbor,Icebox,0.0,0
11,SEN TenZ,Phoenix,Ascent,0.0,0
10,SEN TenZ,Omen,Ascent,0.0,0
124,SEN TenZ,Breach,Split,0.0,0
39,SEN TenZ,Harbor,Bind,0.0,0
128,SEN TenZ,Killjoy,Split,0.0,0
7,SEN TenZ,Fade,Ascent,0.0,0
157,SEN TenZ,Viper,Pearl,0.0,0
155,SEN TenZ,Skye,Pearl,0.0,0
151,SEN TenZ,Phoenix,Pearl,0.0,0
150,SEN TenZ,Omen,Pearl,0.0,0
148,SEN TenZ,Killjoy,Pearl,0.0,0
147,SEN TenZ,Fade,Pearl,0.0,0
146,SEN TenZ,Cypher,Pearl,0.0,0
145,SEN TenZ,Brimstone,Pearl,0.0,0
144,SEN TenZ,Breach,Pearl,0.0,0
143,SEN TenZ,Astra,Pearl,0.0,0
4,SEN TenZ,Breach,Ascent,0.0,0
141,SEN TenZ,Kayo,Pearl,0.0,0
136,SEN TenZ,Sova,Split,0.0,0
134,SEN TenZ,Sage,Split,0.0,0
131,SEN TenZ,Phoenix,Split,0.0,0
139,SEN TenZ,Harbor,Split,0.0,0
99,SEN TenZ,Harbor,Haven,0.0,0
114,SEN TenZ,Sage,Icebox,0.0,0
108,SEN TenZ,Killjoy,Icebox,0.0,0
76,SEN TenZ,Sova,Fracture,0.0,0
74,SEN TenZ,Sage,Fracture,0.0,0
24,SEN TenZ,Breach,Bind,0.0,0
71,SEN TenZ,Phoenix,Fracture,0.0,0
70,SEN TenZ,Omen,Fracture,0.0,0
26,SEN TenZ,Cypher,Bind,0.0,0
68,SEN TenZ,Killjoy,Fracture,0.0,0
64,SEN TenZ,Breach,Fracture,0.0,0
63,SEN TenZ,Astra,Fracture,0.0,0
28,SEN TenZ,Killjoy,Bind,0.0,0
59,SEN TenZ,Harbor,Breeze,0.0,0
