,Username,Agent,Map,WinPct,Matches
143,NRG s0m,Astra,Pearl,0.5964912280701754,57
65,NRG s0m,Brimstone,Fracture,0.625,56
90,NRG s0m,Omen,Haven,0.5098039215686274,51
56,NRG s0m,Sova,Breeze,0.5238095238095238,42
3,NRG s0m,Astra,Ascent,0.5897435897435898,39
16,NRG s0m,Sova,Ascent,0.5897435897435898,39
23,NRG s0m,Astra,Bind,0.4864864864864865,37
41,NRG s0m,Kayo,Breeze,0.46875,32
96,NRG s0m,Sova,Haven,0.6333333333333333,30
32,NRG s0m,Raze,Bind,0.6071428571428571,28
117,NRG s0m,Viper,Icebox,0.72,25
40,NRG s0m,Jett,Breeze,0.6666666666666666,24
114,NRG s0m,Sage,Icebox,0.5416666666666666,24
80,NRG s0m,Jett,Haven,0.6363636363636364,22
35,NRG s0m,Skye,Bind,0.5714285714285714,21
140,NRG s0m,Jett,Pearl,0.5714285714285714,21
72,NRG s0m,Raze,Fracture,0.55,20
116,NRG s0m,Sova,Icebox,0.7,20
112,NRG s0m,Raze,Icebox,0.7368421052631579,19
25,NRG s0m,Brimstone,Bind,0.6842105263157895,19
102,NRG s0m,Chamber,Icebox,0.4444444444444444,18
62,NRG s0m,Chamber,Fracture,0.7333333333333333,15
26,NRG s0m,Cypher,Bind,0.7333333333333333,15
0,NRG s0m,Jett,Ascent,0.5333333333333333,15
10,NRG s0m,Omen,Ascent,0.6666666666666666,15
100,NRG s0m,Jett,Icebox,0.7857142857142857,14
2,NRG s0m,Chamber,Ascent,0.6428571428571429,14
42,NRG s0m,Chamber,Breeze,0.5714285714285714,14
142,NRG s0m,Chamber,Pearl,0.5714285714285714,14
22,NRG s0m,Chamber,Bind,0.38461538461538464,13
20,NRG s0m,Jett,Bind,0.75,12
86,NRG s0m,Cypher,Haven,0.9166666666666666,12
113,NRG s0m,Reyna,Icebox,0.6363636363636364,11
60,NRG s0m,Jett,Fracture,0.5454545454545454,11
57,NRG s0m,Viper,Breeze,0.36363636363636365,11
147,NRG s0m,Fade,Pearl,1.0,10
82,NRG s0m,Chamber,Haven,0.6,10
67,NRG s0m,Fade,Fracture,0.625,8
83,NRG s0m,Astra,Haven,0.5,8
66,NRG s0m,Cypher,Fracture,0.625,8
93,NRG s0m,Reyna,Haven,0.7142857142857143,7
91,NRG s0m,Phoenix,Haven,0.7142857142857143,7
46,NRG s0m,Cypher,Breeze,0.42857142857142855,7
13,NRG s0m,Reyna,Ascent,0.7142857142857143,7
155,NRG s0m,Skye,Pearl,0.5714285714285714,7
61,NRG s0m,Kayo,Fracture,0.5,6
74,NRG s0m,Sage,Fracture,0.5,6
101,NRG s0m,Kayo,Icebox,0.6,5
1,NRG s0m,Kayo,Ascent,0.2,5
6,NRG s0m,Cypher,Ascent,0.75,4
52,NRG s0m,Raze,Breeze,0.5,4
69,NRG s0m,Neon,Fracture,0.5,4
95,NRG s0m,Skye,Haven,0.5,4
38,NRG s0m,Yoru,Bind,0.5,4
108,NRG s0m,Killjoy,Icebox,0.25,4
151,NRG s0m,Phoenix,Pearl,0.6666666666666666,3
11,NRG s0m,Phoenix,Ascent,0.6666666666666666,3
