,Username,Agent,Map,WinPct,Matches
0,FaZe Shanks,Jett,Ascent,0.6666666666666666,3
40,FaZe Shanks,Jett,Breeze,0.0,2
113,FaZe Shanks,Reyna,Icebox,0.5,2
80,FaZe Shanks,Jett,Haven,1.0,2
25,FaZe Shanks,Brimstone,Bind,1.0,1
72,FaZe Shanks,Raze,Fracture,0.0,1
158,FaZe Shanks,Yoru,Pearl,1.0,1
61,FaZe Shanks,Kayo,Fracture,1.0,1
154,FaZe Shanks,Sage,Pearl,1.0,1
52,FaZe Shanks,Raze,Breeze,0.0,1
152,FaZe Shanks,Raze,Pearl,0.0,1
35,FaZe Shanks,Skye,Bind,0.0,1
143,FaZe Shanks,Astra,Pearl,0.0,1
95,FaZe Shanks,Skye,Haven,1.0,1
106,FaZe Shanks,Cypher,Icebox,0.0,0
107,FaZe Shanks,Fade,Icebox,0.0,0
108,FaZe Shanks,Killjoy,Icebox,0.0,0
109,FaZe Shanks,Neon,Icebox,0.0,0
111,FaZe Shanks,Phoenix,Icebox,0.0,0
110,FaZe Shanks,Omen,Icebox,0.0,0
104,FaZe Shanks,Breach,Icebox,0.0,0
112,FaZe Shanks,Raze,Icebox,0.0,0
2,FaZe Shanks,Chamber,Ascent,0.0,0
114,FaZe Shanks,Sage,Icebox,0.0,0
115,FaZe Shanks,Skye,Icebox,0.0,0
116,FaZe Shanks,Sova,Icebox,0.0,0
117,FaZe Shanks,Viper,Icebox,0.0,0
105,FaZe Shanks,Brimstone,Icebox,0.0,0
4,FaZe Shanks,Breach,Ascent,0.0,0
103,FaZe Shanks,Astra,Icebox,0.0,0
102,FaZe Shanks,Chamber,Icebox,0.0,0
87,FaZe Shanks,Fade,Haven,0.0,0
88,FaZe Shanks,Killjoy,Haven,0.0,0
89,FaZe Shanks,Neon,Haven,0.0,0
90,FaZe Shanks,Omen,Haven,0.0,0
91,FaZe Shanks,Phoenix,Haven,0.0,0
92,FaZe Shanks,Raze,Haven,0.0,0
93,FaZe Shanks,Reyna,Haven,0.0,0
94,FaZe Shanks,Sage,Haven,0.0,0
96,FaZe Shanks,Sova,Haven,0.0,0
97,FaZe Shanks,Viper,Haven,0.0,0
98,FaZe Shanks,Yoru,Haven,0.0,0
99,FaZe Shanks,Harbor,Haven,0.0,0
100,FaZe Shanks,Jett,Icebox,0.0,0
119,FaZe Shanks,Harbor,Icebox,0.0,0
101,FaZe Shanks,Kayo,Icebox,0.0,0
118,FaZe Shanks,Yoru,Icebox,0.0,0
122,FaZe Shanks,Chamber,Split,0.0,0
120,FaZe Shanks,Jett,Split,0.0,0
121,FaZe Shanks,Kayo,Split,0.0,0
140,FaZe Shanks,Jett,Pearl,0.0,0
141,FaZe Shanks,Kayo,Pearl,0.0,0
142,FaZe Shanks,Chamber,Pearl,0.0,0
144,FaZe Shanks,Breach,Pearl,0.0,0
145,FaZe Shanks,Brimstone,Pearl,0.0,0
146,FaZe Shanks,Cypher,Pearl,0.0,0
147,FaZe Shanks,Fade,Pearl,0.0,0
148,FaZe Shanks,Killjoy,Pearl,0.0,0
149,FaZe Shanks,Neon,Pearl,0.0,0
150,FaZe Shanks,Omen,Pearl,0.0,0
151,FaZe Shanks,Phoenix,Pearl,0.0,0
153,FaZe Shanks,Reyna,Pearl,0.0,0
155,FaZe Shanks,Skye,Pearl,0.0,0
156,FaZe Shanks,Sova,Pearl,0.0,0
157,FaZe Shanks,Viper,Pearl,0.0,0
139,FaZe Shanks,Harbor,Split,0.0,0
138,FaZe Shanks,Yoru,Split,0.0,0
137,FaZe Shanks,Viper,Split,0.0,0
128,FaZe Shanks,Killjoy,Split,0.0,0
85,FaZe Shanks,Brimstone,Haven,0.0,0
123,FaZe Shanks,Astra,Split,0.0,0
124,FaZe Shanks,Breach,Split,0.0,0
125,FaZe Shanks,Brimstone,Split,0.0,0
126,FaZe Shanks,Cypher,Split,0.0,0
127,FaZe Shanks,Fade,Split,0.0,0
129,FaZe Shanks,Neon,Split,0.0,0
136,FaZe Shanks,Sova,Split,0.0,0
130,FaZe Shanks,Omen,Split,0.0,0
131,FaZe Shanks,Phoenix,Split,0.0,0
132,FaZe Shanks,Raze,Split,0.0,0
133,FaZe Shanks,Reyna,Split,0.0,0
134,FaZe Shanks,Sage,Split,0.0,0
135,FaZe Shanks,Skye,Split,0.0,0
86,FaZe Shanks,Cypher,Haven,0.0,0
82,FaZe Shanks,Chamber,Haven,0.0,0
84,FaZe Shanks,Breach,Haven,0.0,0
23,FaZe Shanks,Astra,Bind,0.0,0
26,FaZe Shanks,Cypher,Bind,0.0,0
27,FaZe Shanks,Fade,Bind,0.0,0
28,FaZe Shanks,Killjoy,Bind,0.0,0
29,FaZe Shanks,Neon,Bind,0.0,0
30,FaZe Shanks,Omen,Bind,0.0,0
31,FaZe Shanks,Phoenix,Bind,0.0,0
32,FaZe Shanks,Raze,Bind,0.0,0
33,FaZe Shanks,Reyna,Bind,0.0,0
34,FaZe Shanks,Sage,Bind,0.0,0
36,FaZe Shanks,Sova,Bind,0.0,0
37,FaZe Shanks,Viper,Bind,0.0,0
38,FaZe Shanks,Yoru,Bind,0.0,0
39,FaZe Shanks,Harbor,Bind,0.0,0
3,FaZe Shanks,Astra,Ascent,0.0,0
41,FaZe Shanks,Kayo,Breeze,0.0,0
24,FaZe Shanks,Breach,Bind,0.0,0
22,FaZe Shanks,Chamber,Bind,0.0,0
43,FaZe Shanks,Astra,Breeze,0.0,0
21,FaZe Shanks,Kayo,Bind,0.0,0
6,FaZe Shanks,Cypher,Ascent,0.0,0
7,FaZe Shanks,Fade,Ascent,0.0,0
8,FaZe Shanks,Killjoy,Ascent,0.0,0
9,FaZe Shanks,Neon,Ascent,0.0,0
10,FaZe Shanks,Omen,Ascent,0.0,0
11,FaZe Shanks,Phoenix,Ascent,0.0,0
12,FaZe Shanks,Raze,Ascent,0.0,0
13,FaZe Shanks,Reyna,Ascent,0.0,0
14,FaZe Shanks,Sage,Ascent,0.0,0
15,FaZe Shanks,Skye,Ascent,0.0,0
16,FaZe Shanks,Sova,Ascent,0.0,0
17,FaZe Shanks,Viper,Ascent,0.0,0
18,FaZe Shanks,Harbor,Ascent,0.0,0
19,FaZe Shanks,Yoru,Ascent,0.0,0
20,FaZe Shanks,Jett,Bind,0.0,0
42,FaZe Shanks,Chamber,Breeze,0.0,0
44,FaZe Shanks,Breach,Breeze,0.0,0
83,FaZe Shanks,Astra,Haven,0.0,0
65,FaZe Shanks,Brimstone,Fracture,0.0,0
67,FaZe Shanks,Fade,Fracture,0.0,0
68,FaZe Shanks,Killjoy,Fracture,0.0,0
69,FaZe Shanks,Neon,Fracture,0.0,0
70,FaZe Shanks,Omen,Fracture,0.0,0
71,FaZe Shanks,Phoenix,Fracture,0.0,0
73,FaZe Shanks,Reyna,Fracture,0.0,0
74,FaZe Shanks,Sage,Fracture,0.0,0
75,FaZe Shanks,Skye,Fracture,0.0,0
76,FaZe Shanks,Sova,Fracture,0.0,0
77,FaZe Shanks,Viper,Fracture,0.0,0
78,FaZe Shanks,Yoru,Fracture,0.0,0
79,FaZe Shanks,Harbor,Fracture,0.0,0
1,FaZe Shanks,Kayo,Ascent,0.0,0
81,FaZe Shanks,Kayo,Haven,0.0,0
5,FaZe Shanks,Brimstone,Ascent,0.0,0
66,FaZe Shanks,Cypher,Fracture,0.0,0
64,FaZe Shanks,Breach,Fracture,0.0,0
45,FaZe Shanks,Brimstone,Breeze,0.0,0
63,FaZe Shanks,Astra,Fracture,0.0,0
46,FaZe Shanks,Cypher,Breeze,0.0,0
47,FaZe Shanks,Fade,Breeze,0.0,0
48,FaZe Shanks,Killjoy,Breeze,0.0,0
