,Username,Agent,Map,WinPct,Matches
96,SEN sinatraa,Sova,Haven,0.5258620689655172,116
52,SEN sinatraa,Raze,Breeze,0.4260869565217391,115
16,SEN sinatraa,Sova,Ascent,0.5217391304347826,115
112,SEN sinatraa,Raze,Icebox,0.49107142857142855,112
66,SEN sinatraa,Cypher,Fracture,0.5092592592592593,108
32,SEN sinatraa,Raze,Bind,0.44761904761904764,105
151,SEN sinatraa,Phoenix,Pearl,0.5138888888888888,72
132,SEN sinatraa,Raze,Split,0.53125,32
72,SEN sinatraa,Raze,Fracture,0.47619047619047616,21
31,SEN sinatraa,Phoenix,Bind,0.42857142857142855,14
81,SEN sinatraa,Kayo,Haven,0.5714285714285714,14
116,SEN sinatraa,Sova,Icebox,0.5384615384615384,13
41,SEN sinatraa,Kayo,Breeze,0.3076923076923077,13
1,SEN sinatraa,Kayo,Ascent,0.6153846153846154,13
152,SEN sinatraa,Raze,Pearl,0.36363636363636365,11
29,SEN sinatraa,Neon,Bind,0.4444444444444444,9
27,SEN sinatraa,Fade,Bind,0.3333333333333333,9
107,SEN sinatraa,Fade,Icebox,0.25,8
36,SEN sinatraa,Sova,Bind,0.5,6
47,SEN sinatraa,Fade,Breeze,0.3333333333333333,6
149,SEN sinatraa,Neon,Pearl,0.2,5
136,SEN sinatraa,Sova,Split,0.4,5
9,SEN sinatraa,Neon,Ascent,0.2,5
87,SEN sinatraa,Fade,Haven,0.2,5
69,SEN sinatraa,Neon,Fracture,0.5,4
127,SEN sinatraa,Fade,Split,0.25,4
21,SEN sinatraa,Kayo,Bind,0.75,4
7,SEN sinatraa,Fade,Ascent,0.5,4
67,SEN sinatraa,Fade,Fracture,0.6666666666666666,3
34,SEN sinatraa,Sage,Bind,0.3333333333333333,3
121,SEN sinatraa,Kayo,Split,0.3333333333333333,3
113,SEN sinatraa,Reyna,Icebox,0.3333333333333333,3
91,SEN sinatraa,Phoenix,Haven,0.3333333333333333,3
33,SEN sinatraa,Reyna,Bind,0.3333333333333333,3
46,SEN sinatraa,Cypher,Breeze,0.5,2
129,SEN sinatraa,Neon,Split,0.5,2
156,SEN sinatraa,Sova,Pearl,0.5,2
13,SEN sinatraa,Reyna,Ascent,0.0,2
12,SEN sinatraa,Raze,Ascent,0.5,2
92,SEN sinatraa,Raze,Haven,0.5,2
126,SEN sinatraa,Cypher,Split,1.0,1
71,SEN sinatraa,Phoenix,Fracture,0.0,1
73,SEN sinatraa,Reyna,Fracture,1.0,1
74,SEN sinatraa,Sage,Fracture,0.0,1
125,SEN sinatraa,Brimstone,Split,0.0,1
49,SEN sinatraa,Neon,Breeze,0.0,1
114,SEN sinatraa,Sage,Icebox,1.0,1
101,SEN sinatraa,Kayo,Icebox,0.0,1
110,SEN sinatraa,Omen,Icebox,0.0,1
109,SEN sinatraa,Neon,Icebox,0.0,1
95,SEN sinatraa,Skye,Haven,0.0,1
64,SEN sinatraa,Breach,Fracture,0.0,1
106,SEN sinatraa,Cypher,Icebox,0.0,1
141,SEN sinatraa,Kayo,Pearl,0.0,1
105,SEN sinatraa,Brimstone,Icebox,0.0,1
76,SEN sinatraa,Sova,Fracture,0.0,1
94,SEN sinatraa,Sage,Haven,1.0,1
89,SEN sinatraa,Neon,Haven,1.0,1
100,SEN sinatraa,Jett,Icebox,0.0,0
111,SEN sinatraa,Phoenix,Icebox,0.0,0
102,SEN sinatraa,Chamber,Icebox,0.0,0
103,SEN sinatraa,Astra,Icebox,0.0,0
108,SEN sinatraa,Killjoy,Icebox,0.0,0
104,SEN sinatraa,Breach,Icebox,0.0,0
0,SEN sinatraa,Jett,Ascent,0.0,0
115,SEN sinatraa,Skye,Icebox,0.0,0
139,SEN sinatraa,Harbor,Split,0.0,0
158,SEN sinatraa,Yoru,Pearl,0.0,0
157,SEN sinatraa,Viper,Pearl,0.0,0
155,SEN sinatraa,Skye,Pearl,0.0,0
154,SEN sinatraa,Sage,Pearl,0.0,0
153,SEN sinatraa,Reyna,Pearl,0.0,0
150,SEN sinatraa,Omen,Pearl,0.0,0
148,SEN sinatraa,Killjoy,Pearl,0.0,0
147,SEN sinatraa,Fade,Pearl,0.0,0
146,SEN sinatraa,Cypher,Pearl,0.0,0
145,SEN sinatraa,Brimstone,Pearl,0.0,0
144,SEN sinatraa,Breach,Pearl,0.0,0
143,SEN sinatraa,Astra,Pearl,0.0,0
142,SEN sinatraa,Chamber,Pearl,0.0,0
140,SEN sinatraa,Jett,Pearl,0.0,0
138,SEN sinatraa,Yoru,Split,0.0,0
117,SEN sinatraa,Viper,Icebox,0.0,0
137,SEN sinatraa,Viper,Split,0.0,0
135,SEN sinatraa,Skye,Split,0.0,0
134,SEN sinatraa,Sage,Split,0.0,0
133,SEN sinatraa,Reyna,Split,0.0,0
131,SEN sinatraa,Phoenix,Split,0.0,0
130,SEN sinatraa,Omen,Split,0.0,0
128,SEN sinatraa,Killjoy,Split,0.0,0
98,SEN sinatraa,Yoru,Haven,0.0,0
124,SEN sinatraa,Breach,Split,0.0,0
123,SEN sinatraa,Astra,Split,0.0,0
122,SEN sinatraa,Chamber,Split,0.0,0
120,SEN sinatraa,Jett,Split,0.0,0
119,SEN sinatraa,Harbor,Icebox,0.0,0
118,SEN sinatraa,Yoru,Icebox,0.0,0
99,SEN sinatraa,Harbor,Haven,0.0,0
80,SEN sinatraa,Jett,Haven,0.0,0
97,SEN sinatraa,Viper,Haven,0.0,0
44,SEN sinatraa,Breach,Breeze,0.0,0
42,SEN sinatraa,Chamber,Breeze,0.0,0
40,SEN sinatraa,Jett,Breeze,0.0,0
39,SEN sinatraa,Harbor,Bind,0.0,0
38,SEN sinatraa,Yoru,Bind,0.0,0
37,SEN sinatraa,Viper,Bind,0.0,0
35,SEN sinatraa,Skye,Bind,0.0,0
30,SEN sinatraa,Omen,Bind,0.0,0
28,SEN sinatraa,Killjoy,Bind,0.0,0
