,Username,Agent,Map,WinPct,Matches
80,SEN tarik,Jett,Haven,0.5487804878048781,82
22,SEN tarik,Chamber,Bind,0.6,80
62,SEN tarik,Chamber,Fracture,0.5694444444444444,72
142,SEN tarik,Chamber,Pearl,0.6268656716417911,67
40,SEN tarik,Jett,Breeze,0.5230769230769231,65
113,SEN tarik,Reyna,Icebox,0.5625,64
2,SEN tarik,Chamber,Ascent,0.5333333333333333,60
0,SEN tarik,Jett,Ascent,0.5769230769230769,52
42,SEN tarik,Chamber,Breeze,0.627906976744186,43
100,SEN tarik,Jett,Icebox,0.5833333333333334,36
82,SEN tarik,Chamber,Haven,0.6774193548387096,31
60,SEN tarik,Jett,Fracture,0.5555555555555556,27
102,SEN tarik,Chamber,Icebox,0.72,25
32,SEN tarik,Raze,Bind,0.5,24
153,SEN tarik,Reyna,Pearl,0.6818181818181818,22
53,SEN tarik,Reyna,Breeze,0.42105263157894735,19
72,SEN tarik,Raze,Fracture,0.5,18
140,SEN tarik,Jett,Pearl,0.5,18
93,SEN tarik,Reyna,Haven,0.4666666666666667,15
20,SEN tarik,Jett,Bind,0.7777777777777778,9
112,SEN tarik,Raze,Icebox,0.625,8
13,SEN tarik,Reyna,Ascent,0.8571428571428571,7
152,SEN tarik,Raze,Pearl,0.42857142857142855,7
91,SEN tarik,Phoenix,Haven,0.3333333333333333,6
73,SEN tarik,Reyna,Fracture,0.6666666666666666,6
41,SEN tarik,Kayo,Breeze,0.25,4
12,SEN tarik,Raze,Ascent,0.5,4
151,SEN tarik,Phoenix,Pearl,0.25,4
5,SEN tarik,Brimstone,Ascent,0.0,3
64,SEN tarik,Breach,Fracture,0.3333333333333333,3
14,SEN tarik,Sage,Ascent,0.0,3
147,SEN tarik,Fade,Pearl,0.3333333333333333,3
33,SEN tarik,Reyna,Bind,0.0,2
34,SEN tarik,Sage,Bind,1.0,2
65,SEN tarik,Brimstone,Fracture,1.0,2
36,SEN tarik,Sova,Bind,0.5,2
92,SEN tarik,Raze,Haven,0.0,2
101,SEN tarik,Kayo,Icebox,0.5,2
57,SEN tarik,Viper,Breeze,0.0,2
74,SEN tarik,Sage,Fracture,1.0,1
116,SEN tarik,Sova,Icebox,0.0,1
1,SEN tarik,Kayo,Ascent,0.0,1
52,SEN tarik,Raze,Breeze,0.0,1
16,SEN tarik,Sova,Ascent,0.0,1
30,SEN tarik,Omen,Bind,0.0,1
154,SEN tarik,Sage,Pearl,0.0,1
27,SEN tarik,Fade,Bind,1.0,1
7,SEN tarik,Fade,Ascent,0.0,1
145,SEN tarik,Brimstone,Pearl,0.0,1
25,SEN tarik,Brimstone,Bind,0.0,1
111,SEN tarik,Phoenix,Icebox,0.0,0
148,SEN tarik,Killjoy,Pearl,0.0,0
118,SEN tarik,Yoru,Icebox,0.0,0
117,SEN tarik,Viper,Icebox,0.0,0
115,SEN tarik,Skye,Icebox,0.0,0
114,SEN tarik,Sage,Icebox,0.0,0
149,SEN tarik,Neon,Pearl,0.0,0
4,SEN tarik,Breach,Ascent,0.0,0
157,SEN tarik,Viper,Pearl,0.0,0
139,SEN tarik,Harbor,Split,0.0,0
146,SEN tarik,Cypher,Pearl,0.0,0
109,SEN tarik,Neon,Icebox,0.0,0
108,SEN tarik,Killjoy,Icebox,0.0,0
107,SEN tarik,Fade,Icebox,0.0,0
106,SEN tarik,Cypher,Icebox,0.0,0
105,SEN tarik,Brimstone,Icebox,0.0,0
150,SEN tarik,Omen,Pearl,0.0,0
156,SEN tarik,Sova,Pearl,0.0,0
104,SEN tarik,Breach,Icebox,0.0,0
103,SEN tarik,Astra,Icebox,0.0,0
158,SEN tarik,Yoru,Pearl,0.0,0
110,SEN tarik,Omen,Icebox,0.0,0
119,SEN tarik,Harbor,Icebox,0.0,0
138,SEN tarik,Yoru,Split,0.0,0
120,SEN tarik,Jett,Split,0.0,0
137,SEN tarik,Viper,Split,0.0,0
136,SEN tarik,Sova,Split,0.0,0
135,SEN tarik,Skye,Split,0.0,0
134,SEN tarik,Sage,Split,0.0,0
133,SEN tarik,Reyna,Split,0.0,0
132,SEN tarik,Raze,Split,0.0,0
141,SEN tarik,Kayo,Pearl,0.0,0
99,SEN tarik,Harbor,Haven,0.0,0
131,SEN tarik,Phoenix,Split,0.0,0
130,SEN tarik,Omen,Split,0.0,0
129,SEN tarik,Neon,Split,0.0,0
155,SEN tarik,Skye,Pearl,0.0,0
128,SEN tarik,Killjoy,Split,0.0,0
127,SEN tarik,Fade,Split,0.0,0
3,SEN tarik,Astra,Ascent,0.0,0
126,SEN tarik,Cypher,Split,0.0,0
143,SEN tarik,Astra,Pearl,0.0,0
125,SEN tarik,Brimstone,Split,0.0,0
144,SEN tarik,Breach,Pearl,0.0,0
124,SEN tarik,Breach,Split,0.0,0
123,SEN tarik,Astra,Split,0.0,0
122,SEN tarik,Chamber,Split,0.0,0
121,SEN tarik,Kayo,Split,0.0,0
8,SEN tarik,Killjoy,Ascent,0.0,0
84,SEN tarik,Breach,Haven,0.0,0
98,SEN tarik,Yoru,Haven,0.0,0
97,SEN tarik,Viper,Haven,0.0,0
51,SEN tarik,Phoenix,Breeze,0.0,0
50,SEN tarik,Omen,Breeze,0.0,0
49,SEN tarik,Neon,Breeze,0.0,0
48,SEN tarik,Killjoy,Breeze,0.0,0
47,SEN tarik,Fade,Breeze,0.0,0
46,SEN tarik,Cypher,Breeze,0.0,0
45,SEN tarik,Brimstone,Breeze,0.0,0
44,SEN tarik,Breach,Breeze,0.0,0
43,SEN tarik,Astra,Breeze,0.0,0
6,SEN tarik,Cypher,Ascent,0.0,0
39,SEN tarik,Harbor,Bind,0.0,0
38,SEN tarik,Yoru,Bind,0.0,0
37,SEN tarik,Viper,Bind,0.0,0
35,SEN tarik,Skye,Bind,0.0,0
31,SEN tarik,Phoenix,Bind,0.0,0
29,SEN tarik,Neon,Bind,0.0,0
28,SEN tarik,Killjoy,Bind,0.0,0
26,SEN tarik,Cypher,Bind,0.0,0
24,SEN tarik,Breach,Bind,0.0,0
23,SEN tarik,Astra,Bind,0.0,0
21,SEN tarik,Kayo,Bind,0.0,0
19,SEN tarik,Yoru,Ascent,0.0,0
18,SEN tarik,Harbor,Ascent,0.0,0
17,SEN tarik,Viper,Ascent,0.0,0
15,SEN tarik,Skye,Ascent,0.0,0
11,SEN tarik,Phoenix,Ascent,0.0,0
10,SEN tarik,Omen,Ascent,0.0,0
54,SEN tarik,Sage,Breeze,0.0,0
55,SEN tarik,Skye,Breeze,0.0,0
56,SEN tarik,Sova,Breeze,0.0,0
79,SEN tarik,Harbor,Fracture,0.0,0
96,SEN tarik,Sova,Haven,0.0,0
95,SEN tarik,Skye,Haven,0.0,0
94,SEN tarik,Sage,Haven,0.0,0
90,SEN tarik,Omen,Haven,0.0,0
89,SEN tarik,Neon,Haven,0.0,0
88,SEN tarik,Killjoy,Haven,0.0,0
87,SEN tarik,Fade,Haven,0.0,0
86,SEN tarik,Cypher,Haven,0.0,0
85,SEN tarik,Brimstone,Haven,0.0,0
9,SEN tarik,Neon,Ascent,0.0,0
83,SEN tarik,Astra,Haven,0.0,0
81,SEN tarik,Kayo,Haven,0.0,0
78,SEN tarik,Yoru,Fracture,0.0,0
58,SEN tarik,Yoru,Breeze,0.0,0
77,SEN tarik,Viper,Fracture,0.0,0
76,SEN tarik,Sova,Fracture,0.0,0
75,SEN tarik,Skye,Fracture,0.0,0
71,SEN tarik,Phoenix,Fracture,0.0,0
70,SEN tarik,Omen,Fracture,0.0,0
69,SEN tarik,Neon,Fracture,0.0,0
68,SEN tarik,Killjoy,Fracture,0.0,0
67,SEN tarik,Fade,Fracture,0.0,0
66,SEN tarik,Cypher,Fracture,0.0,0
63,SEN tarik,Astra,Fracture,0.0,0
61,SEN tarik,Kayo,Fracture,0.0,0
59,SEN tarik,Harbor,Breeze,0.0,0
159,SEN tarik,Harbor,Pearl,0.0,0
