,Usernames,Hashtags,Region
0,LOUD Less,#LLL,Brazil
1,00 artz1k4,#scott,Brazil
2,LEV keznitdeuS,#g0d14,Brazil
3,TBK anao sato,#lukxo,Brazil
4,ttv goberaa,#012,Brazil
5,sentinels bryanL,#MVPWC,Brazil
6,00 shion KPc,#0000,Brazil
7,ODK Tisora,#zzz,Brazil
8,h6lma,#xdd,Brazil
9,love pupi,#isa,Brazil
10,CAOS cortezia,#2004,Brazil
11,UNION pancc,#1098,Brazil
12,FURIA mwzera,#2001,Brazil
13,kon4nzin,#DTJ,Brazil
14,CTC,#RND,Brazil
15,MatiS,#2001,Brazil
16,RND,#ctc,Brazil
17,AK tinchoff,#BRA1,Brazil
18,Lewa,#øøø,Brazil
19,thz1N,#nesy,Brazil
20,Ant,#FG9,Brazil
21,LEV Mazino,#syuz,Brazil
22,FUR mazin,#tami,Brazil
23,LEV Neon,#rei,Brazil
24,SHK proziN,#0803,Brazil
25,Loud Verme,#lss,Brazil
26,DELIRA duhT,#ismen,Brazil
27,VKS krain9,#muac,Brazil
28,LOUD Saadhak,#LLL,Brazil
29,fz 11,#2301,Brazil
30,Siduoski,#zord,Brazil
31,blxwzj,#2007,Brazil
32,TZ lz,#999,Brazil
33,mibr frzgod,#2000,Brazil
34,leoziN,#2006,Brazil
35,dgzn real goat,#dgzin,Brazil
36,wishey,#manic,Brazil
37,xicreti,#SACAO,Brazil
38,deferias com ind,#loveu,Brazil
39,ODK BLD,#1992,Brazil
40,deиaro,#1506,Brazil
41,XACAU,#xxx,Brazil
42,UNION havoc,#mimi,Brazil
43,champzera1,#hanna,Brazil
44,LEV Shyy,#Tula1,Brazil
45,swągーιwnl,#vks,Brazil
46,9z david,#pain,Brazil
47,TOTALE GINILSON,#FUMA,Brazil
48,yayabaBy,#lol,Brazil
49,zakkv,#PK1,Brazil
50,Liquid daiki,#isz,Brazil
51,CAOS xenon99,#jooji,Brazil
52,Horakawa,#30 01,Brazil
53,arctic,#SCCP,Brazil
54,spikezinN,#15y,Brazil
55,forbanz,#NOCTA,Brazil
56,123,#boop,Brazil
57,bandolero,#qsoy,Brazil
58,RED bnj 魔,#ssj,Brazil
59,nzr,#wer,Brazil
60,taka,#15y,Brazil
61,RISE guuih,#000,Brazil
62,KRÜ axeddy,#demon,Brazil
63,Leobas,#GOD,Brazil
64,KRÜ デコ,#6969,Brazil
65,HiiiK o FERA,#FERA,Brazil
66,Little Sw,#2002,Brazil
67,tooug,#13y,Brazil
68,Twitch dragovlr,#drago,Brazil
69,teddyJESUS,#cami,Brazil
70,9z rubkkoide,#2jz,Brazil
71,LEV Tacolilla,#Taco,Brazil
72,eL Shaarawy 92,#demon,Brazil
73,UNNSTO サイヤ人,#240,Brazil
74,lula molusco,#nariz,Brazil
75,JS Dav1lusa,#2001,Brazil
76,KRÜ NagZ,#3D2Y,Brazil
77,UNION ntk,#1994,Brazil
78,9z 水,#2310,Brazil
79,gui,#2007,Brazil
80,luk xo,#sato,Brazil
81,BIEL MAQUINISTA,#2001,Brazil
82,nokav,#2509,Brazil
83,LEV erde,#dingl,Brazil
84,END Tiezzi,#MVP,Brazil
85,TWITCH FRTTT,#2819,Brazil
86,petit gatão,#nhac,Brazil
87,SILENTZZ,#2004,Brazil
88,mibr jzz,#2004,Brazil
89,high,#tsuka,Brazil
90,sosho,#lvl78,Brazil
91,tockers,#lau,Brazil
92,AK leonzhett,#MEC,Brazil
93,pepzet1,#iwi,Brazil
94,VKS pollo,#sayu,Brazil
95,pepa,#pig1,Brazil
96,rpz,#hina,Brazil
97,RED Jonn,#1994,Brazil
98,KRÜ Melser,#nene,Brazil
99,kaq ykz,#goat,Brazil
