,Usernames,Hashtags,Region
0,GGA Kally,#LFT,Korea
1,T1A Leo,#김윤승,Korea
2,T1A JaXe,#1TAP,Korea
3,THETA Lucy,#Bless,Korea
4,Z,#2000,Korea
5,럴킹과베이팅의달인쥐새끼조민혁,#찍찍찍,Korea
6,Sangjong,#1229,Korea
7,iron man,#0926,Korea
8,플레로떨어지면머리박고자살함,#현재진행형,Korea
9,슈의 라면가게 20000원,#찍었다,Korea
10,sunbitaLˇ,#5821,Korea
11,한섭새끼들다썰고아섭으로도망감,#이지까까,Korea
12,종훈티비,#어쩔티비,Korea
13,식이의즐겜계정,#성격안좋음,Korea
14,GenG Ver0nicA,#GGA,Korea
15,Bn2,#111,Korea
16,Jerry,#6665,Korea
17,힐링하러온메이플유저라잘못합니다,#욕하지마요,Korea
18,EscO,#9677,Korea
19,GEN Meteor,#0307,Korea
20,Serz,#LFT,Korea
21,이코봉,#4885,Korea
22,김발로란트,#VALO,Korea
23,DELTA Bori,#Bless,Korea
24,Xure,#LFT,Korea
25,손오반,#0312,Korea
26,Cloy,#2222,Korea
27,Splash,#16살,Korea
28,Luis,#AGR,Korea
29,TKS AndreSs,#광성고최강,Korea
30,NEO NO1Y,#NEW,Korea
31,임대훈짱짱123,#1111,Korea
32,시환티비,#어쩔티비,Korea
33,고슴도치,#1111,Korea
34,에임랩13만점,#1111,Korea
35,SMT GEORGE,#SMWIN,Korea
36,민정이바라기,#민정짱,Korea
37,pilotjones,#frank,Korea
38,OP Zeus ツ,#프렌지원툴,Korea
39,apiD,#Dipa,Korea
40,Xizen l iwnl,#NeveR,Korea
41,이지호,#11111,Korea
42,Bluelemon,#ade,Korea
43,BETA 99,#Bless,Korea
44,LovelyJollyCutie,#러졸큐,Korea
45,Klaus,#Pro,Korea
46,YouTube Sar,#11111,Korea
47,ЯяЯя,#1111,Korea
48,LWE Impact,#1111,Korea
49,nAts,#nuts,Korea
50,담 겜,#NTGG,Korea
51,Blueming,#0512,Korea
52,예린이 따까리,#Den2,Korea
53,내 최애는 악역영애,#레이테일러,Korea
54,E U,#EEEE,Korea
55,이계정본인명의아니라서슬픈이현우,#슬프네그냥,Korea
56,Manggong,#1111,Korea
57,Nilo,#Seona,Korea
58,Hiyonu,#현우에오,Korea
59,vVv Hestia,#vvvVv,Korea
60,Ralph,#15살,Korea
61,T1A Leviathan,#11111,Korea
62,버블파이터프로지망다오장인조민혁,#캡크스러버,Korea
63,Ori,#디파팬,Korea
64,메가리자몽Y,#1004,Korea
65,누나사랑해,#1111,Korea
66,LS UN2,#LSWIN,Korea
67,apple,#kkkk,Korea
68,잉 잉,#여수현,Korea
69,TTR Mistake,#TTR,Korea
70,GenG Ramgi,#PRO,Korea
71,NEO SIHYEON,#NEW,Korea
72,Senor Vac,#CN1,Korea
73,즐기는 자가 1류다,#난2류,Korea
74,소지성 에임괴물,#고감도괴물,Korea
75,남승우,#31107,Korea
76,나에게발로란트란,#Rob1N,Korea
77,IDEC NAVI,#노인정협회,Korea
78,ZETA Laz,#3184,Korea
79,RISE Lory,#HIGH,Korea
80,apeX,#0121,Korea
81,FT HeaVen,#NO1,Korea
82,Edge runner,#사이버펑크,Korea
83,김플론,#0808,Korea
84,발로란트의 왕이 될 남자,#LFT07,Korea
85,서 월,#1234,Korea
86,pommier,#사과나무,Korea
87,FH sanK,#FHWIN,Korea
88,LFT Capri,#SSun,Korea
89,GCA sayu,#1111,Korea
90,벌레 퇴치 전문 시리우스 문의,#세스코,Korea
91,taaaaaaaaaaaaazo,#OFBY,Korea
92,너가 원한다면,#지켜줄게,Korea
93,LW Abyss,#1111,Korea
94,느금마섬그늘에,#7622,Korea
95,드디어나타난파주에명인안혜준,#명인안혜준,Korea
96,heugdo,#두번째계정,Korea
97,KIT Hittori,#pro,Korea
98,부사동번개맨,#찌릿찌릿,Korea
99,GCA R3set,#1111,Korea
